external_ref,account_code,amount,currency,booked_at,description
GL-10320979,4100,2944.56,EUR,2026-06-06T10:00:00+00:00,authorised amount ORD-2026-413909
GL-11365559,4900,-326.92,USD,2026-06-08T13:00:00+00:00,chargeback debit
GL-14320249,4100,4499.95,EUR,2026-06-09T11:00:00+00:00,fx converted capture ORD-2026-181802
GL-20181083,4100,540.86,EUR,2026-06-26T12:00:00+00:00,capture ORD-2026-510910
GL-36837419,4100,484.20,EUR,2026-06-13T10:00:00+00:00,authorised amount ORD-2026-732696
GL-75199381,2100,87.26,EUR,2026-06-12T11:00:00+00:00,clearing account movement
GL-82433548,4100,1234.64,EUR,2026-06-07T11:00:00+00:00,net settlement ORD-2026-764755
GL-86321716,4100,1766.67,EUR,2026-06-03T12:00:00+00:00,card capture ORD-2026-903098
GL-95604097,4100,36.83,USD,2026-06-04T10:00:00+00:00,daily card settlement
GL-96208834,4100,1828.47,GBP,2026-06-05T11:00:00+00:00,card capture ORD-2026-105567
